img_id,class,x_center,y_center,x_min,y_min,x_max,y_max,width,height
image_1401,0,0.449519,0.254808,153,96,219,116,66,20
image_1401,0,0.770433,0.546875,291,216,350,238,59,21
image_1401,0,0.5,0.669471,173,268,242,287,69,18
image_1401,0,0.72476,0.80649,279,312,324,357,44,44
image_1401,0,0.866587,0.665865,344,266,377,286,33,20
image_1401,0,0.111779,0.608173,39,239,54,265,15,26
image_1402,0,0.512019,0.302885,177,114,247,138,69,23
image_1402,0,0.835337,0.311298,322,117,373,141,50,24
image_1402,0,0.552885,0.430288,198,168,262,188,63,20
image_1402,0,0.138221,0.444712,37,166,76,204,39,37
image_1402,0,0.513221,0.677885,196,269,229,295,33,26
image_1402,0,0.832933,0.675481,331,272,362,290,30,17
image_1402,0,0.501202,0.807692,173,318,244,352,70,34
image_1402,0,0.298077,0.780048,109,313,138,335,28,21
image_1402,0,0.331731,0.424279,107,167,169,186,61,18
image_1402,0,0.919471,0.451923,348,176,416,199,67,23
image_1404,0,0.048077,0.215144,1,68,39,109,37,41
image_1404,0,0.052885,0.30649,1,117,43,136,42,18
image_1404,0,0.16226,0.331731,45,117,90,159,44,42
image_1404,0,0.024038,0.439904,0,163,18,203,17,40
image_1404,0,0.512019,0.405048,173,153,251,183,78,29
image_1404,0,0.447115,0.481971,171,187,199,212,28,24
image_1404,0,0.570913,0.479567,222,185,251,212,29,27
image_1404,0,0.933894,0.403846,373,154,403,180,29,26
image_1404,0,0.307692,0.557692,92,217,162,245,69,28
image_1404,0,0.467548,0.560096,183,216,205,248,22,31
image_1404,0,0.963942,0.564904,385,219,415,251,29,31
image_1404,0,0.61899,0.646635,203,253,310,285,107,31
image_1404,0,0.167067,0.640625,46,248,91,284,44,35
image_1404,0,0.290865,0.753606,101,289,139,338,37,48
image_1404,0,0.742788,0.75601,248,290,368,339,120,48
image_1404,0,0.045673,0.739183,1,289,36,326,34,36
image_1404,0,0.165865,0.745192,61,290,75,328,14,37
image_1404,0,0.197115,0.855769,67,335,95,375,28,40
image_1404,0,0.53726,0.223558,212,71,235,115,22,43
image_1404,0,0.469952,0.715144,145,288,245,305,100,16
image_1409,0,0.115385,0.504808,2,188,94,232,92,43
image_1409,0,0.289663,0.502404,107,187,132,231,24,43
image_1409,0,0.31851,0.609375,116,232,149,274,33,41
image_1409,0,0.170673,0.790865,56,308,85,348,29,40
image_1409,0,0.78125,0.873798,290,345,359,381,68,36
image_1409,0,0.721154,0.605769,288,230,311,273,22,42
image_1409,0,0.021635,0.703125,1,274,17,310,16,35
image_1409,0,0.838942,0.786058,342,309,354,345,11,35
image_1411,0,0.157452,0.885817,30,350,101,385,70,35
image_1411,0,0.594952,0.798077,239,317,255,346,15,28
image_1411,0,0.032452,0.370192,2,136,24,170,22,34
image_1414,0,0.46274,0.170673,149,63,234,78,85,14
image_1414,0,0.203125,0.800481,30,325,138,341,108,16
image_1415,0,0.545673,0.566106,176,226,277,245,100,18
image_1415,0,0.385817,0.84976,120,344,199,363,79,18
image_1415,0,0.03125,0.234375,1,86,24,108,23,22
image_1415,0,0.144231,0.225962,44,87,76,101,31,14
image_1415,0,0.716346,0.222356,280,84,315,101,35,16
image_1415,0,0.831731,0.21875,331,82,361,99,29,17
image_1415,0,0.955529,0.213942,379,82,416,94,36,11
image_1415,0,0.402644,0.347356,140,135,193,154,53,18
image_1415,0,0.544471,0.348558,212,136,239,154,27,17
image_1415,0,0.671875,0.346154,245,135,313,152,68,16
image_1415,0,0.872596,0.344952,329,135,395,151,66,15
image_1415,0,0.204327,0.347356,44,135,125,154,80,18
image_1415,0,0.758413,0.567308,293,228,336,244,42,16
image_1418,0,0.146635,0.284856,2,104,120,133,118,29
image_1418,0,0.058894,0.159856,0,50,47,83,47,33
image_1418,0,0.449519,0.145433,99,49,273,72,173,22
image_1418,0,0.860577,0.147837,304,49,411,74,107,24
image_1418,0,0.766827,0.301683,306,105,332,146,26,41
image_1418,0,0.698317,0.521635,276,194,303,240,27,46
image_1418,0,0.838942,0.41226,333,151,363,192,29,41
image_1418,0,0.834135,0.528846,327,198,367,241,40,42
image_1418,0,0.757212,0.730769,299,288,331,318,31,29
image_1418,0,0.655048,0.728365,264,288,280,316,15,28
image_1418,0,0.802885,0.820913,322,323,346,358,23,35
image_1418,0,0.532452,0.822115,210,321,232,361,21,40
image_1418,0,0.237981,0.558894,43,215,155,248,112,33
image_1418,0,0.34375,0.463942,128,172,157,212,28,40
image_1418,0,0.097356,0.367788,27,137,54,167,27,29
image_1418,0,0.108173,0.713942,30,283,59,309,29,26
image_1418,0,0.055288,0.811298,8,316,36,358,28,41
image_1418,0,0.182692,0.140625,51,49,99,67,48,18
image_1418,0,0.746394,0.641827,303,245,316,288,13,43
image_1419,0,0.052885,0.254808,1,90,43,122,42,31
image_1419,0,0.060096,0.397837,2,154,46,177,43,22
image_1419,0,0.425481,0.572115,166,220,188,254,22,34
image_1419,0,0.53726,0.65024,208,257,239,282,30,24
image_1419,0,0.795673,0.569712,316,221,345,253,28,31
image_1419,0,0.780048,0.401442,301,152,346,180,44,28
image_1419,0,0.915865,0.655048,345,258,415,286,69,27
image_1419,0,0.855769,0.725962,326,290,384,314,57,23
image_1419,0,0.801683,0.794471,305,316,362,343,56,27
image_1419,0,0.5,0.795673,179,314,236,346,57,31
image_1419,0,0.688702,0.383413,271,149,301,168,29,18
image_1419,0,0.713942,0.289663,278,109,314,130,35,21
image_1419,0,0.485577,0.144231,157,39,247,81,89,42
image_1419,0,0.092548,0.109375,1,31,75,59,74,27
image_1419,0,0.798077,0.141827,252,44,411,73,159,29
image_1419,0,0.905048,0.551683,348,222,404,237,56,15
image_1420,0,0.161058,0.358173,34,138,100,158,66,20
image_1420,0,0.123798,0.460337,1,182,101,201,100,18
image_1420,0,0.899038,0.569712,355,225,391,249,35,23
image_1420,0,0.155048,0.561298,20,226,108,239,87,13
image_1420,0,0.069712,0.674279,14,271,44,290,29,18
image_1420,0,0.793269,0.676683,309,272,349,291,40,18
image_1423,0,0.393029,0.235577,96,82,230,114,133,31
image_1423,0,0.633413,0.247596,248,81,277,124,29,42
image_1423,0,0.789663,0.231971,283,82,372,109,88,27
image_1423,0,0.811298,0.38101,258,146,416,171,157,24
image_1423,0,0.74399,0.467548,271,186,346,202,74,16
image_1423,0,0.794471,0.727163,299,283,361,320,62,36
image_1423,0,0.575721,0.739183,226,284,251,331,24,47
image_1423,0,0.147837,0.715144,25,286,98,308,73,22
image_1423,0,0.08774,0.540865,0,213,71,235,70,22
image_1423,0,0.41226,0.377404,149,145,194,168,44,22
image_1423,0,0.102163,0.353365,31,129,52,163,21,34
image_1423,0,0.834135,0.146635,337,44,357,78,20,34
image_1423,0,0.217548,0.856971,83,336,96,375,13,39
image_1424,0,0.108173,0.38101,27,133,62,184,35,50
image_1424,0,0.253606,0.359375,66,131,145,167,79,35
image_1424,0,0.335337,0.655048,122,261,157,283,35,22
image_1424,0,0.5,0.664663,193,260,222,291,29,30
image_1424,0,0.421875,0.72476,157,289,193,314,35,24
image_1424,0,0.790865,0.362981,305,135,351,167,46,31
image_1424,0,0.257212,0.18149,22,57,192,92,170,35
image_1424,0,0.739183,0.171875,199,59,416,83,217,24
image_1424,0,0.861779,0.737981,339,296,378,318,39,22
image_1424,0,0.199519,0.497596,68,192,96,221,28,29
image_1424,0,0.606971,0.501202,202,197,302,219,100,22
image_1424,0,0.83774,0.498798,326,196,369,218,42,21
image_1427,0,0.140625,0.484375,41,180,75,222,33,42
image_1427,0,0.829327,0.388221,333,148,356,173,23,24
image_1427,0,0.447115,0.783654,171,313,199,339,28,26
image_1427,0,0.917067,0.263221,354,95,407,122,53,27
image_1428,0,0.56851,0.354567,218,135,255,158,36,22
image_1428,0,0.566106,0.47476,192,191,279,204,87,13
image_1428,0,0.578125,0.612981,212,242,268,268,55,26
image_1431,0,0.183894,0.439904,58,167,93,199,35,31
image_1431,0,0.331731,0.53125,114,206,162,235,48,28
